"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","This is test scenario","Check confirm password field with input data invalid data","0","0","1","0","0"
"","This is test scenario","Check password field with input data invalid data","0","0","1","0","0"
"","This is test scenario","Verify on entering data to all fields","0","0","1","0","0"
"","This is test scenario","Verify the default remember is checked","0","0","2","0","0"
"","This is test scenario","Check last name field with input data invalid data","0","0","1","0","0"
"","This is test scenario","Verify title is displayed correctly","0","0","2","0","0"
"","This is test scenario","Check first name field with input data invalid data","0","0","1","0","0"
"","This is test scenario","Verify the Sign up hyperlink is active","0","0","3","0","0"
"","This is test scenario","Verify sign up success with valid all the fields","0","0","1","0","0"
"","This is test scenario","Verify all fields is blank data","0","0","2","0","0"
"","This is test scenario","Check email field with input data invalid format","0","0","1","0","0"
"","This is test scenario","Verify the password is displayed with type text","0","0","2","0","0"
"","This is test scenario","Verify email field is NOT already on DB","0","0","1","0","0"
"","This is test scenario","Verify the default of checkbox is the checked persona","0","0","1","0","0"
"","This is test scenario","Check email field with input data invalid data","0","0","1","0","0"
"","This is test scenario","Verify password field is NOT already on DB","0","0","1","0","0"
"","This is test scenario","Verify description is displayed correctly","0","0","1","0","0"
"","This is test scenario","Check password field with input data invalid length","0","0","1","0","0"
