"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 21 08:23:47 ICT 2022","Mon Mar 21 08:23:59 ICT 2022","12403","","This is test scenario","","Check confirm password field with input data invalid data","","Check confirm password field with input data invalid data","  I want sign up into IResource website"
"passed","Mon Mar 21 08:23:35 ICT 2022","Mon Mar 21 08:23:47 ICT 2022","12137","","This is test scenario","","Check password field with input data invalid data","","Check password field with input data invalid data","  I want sign up into IResource website"
"passed","Mon Mar 21 08:22:36 ICT 2022","Mon Mar 21 08:22:45 ICT 2022","8613","","This is test scenario","","Verify on entering data to all fields","","Verify on entering data to all fields","  I want login into IResource website"
"passed","Mon Mar 21 08:22:45 ICT 2022","Mon Mar 21 08:22:47 ICT 2022","2610","","This is test scenario","","Verify the default remember is checked","","Verify the default remember is checked","  I want login into IResource website"
"passed","Mon Mar 21 08:23:20 ICT 2022","Mon Mar 21 08:23:30 ICT 2022","9777","","This is test scenario","","Check last name field with input data invalid data","","Check last name field with input data invalid data","  I want sign up into IResource website"
"passed","Mon Mar 21 08:22:59 ICT 2022","Mon Mar 21 08:23:03 ICT 2022","3630","","This is test scenario","","Verify title is displayed correctly","","Verify title is displayed correctly","  I want sign up into IResource website"
"passed","Mon Mar 21 08:23:10 ICT 2022","Mon Mar 21 08:23:20 ICT 2022","9554","","This is test scenario","","Check first name field with input data invalid data","","Check first name field with input data invalid data","  I want sign up into IResource website"
"passed","Mon Mar 21 08:22:51 ICT 2022","Mon Mar 21 08:22:59 ICT 2022","7907","","This is test scenario","","Verify the Sign up hyperlink is active","","Verify the Sign up hyperlink is active","  I want login into IResource website"
"passed","Mon Mar 21 08:23:59 ICT 2022","Mon Mar 21 08:25:50 ICT 2022","110425","","This is test scenario","","Verify sign up success with valid all the fields","","Verify sign up success with valid all the fields","  I want sign up into IResource website"
"passed","Mon Mar 21 08:21:58 ICT 2022","Mon Mar 21 08:22:02 ICT 2022","3120","","This is test scenario","","Verify all fields is blank data","","Verify all fields is blank data","  I want login into IResource website"
"passed","Mon Mar 21 08:23:06 ICT 2022","Mon Mar 21 08:23:10 ICT 2022","3913","","This is test scenario","","Verify all fields is blank data","","Verify all fields is blank data","  I want sign up into IResource website"
"passed","Sun Mar 20 21:57:37 ICT 2022","Sun Mar 20 21:57:40 ICT 2022","3377","","This is test scenario","","Verify the default remember is checked","","Verify the default remember is checked","  I want login into IResource website"
"passed","Mon Mar 21 08:22:26 ICT 2022","Mon Mar 21 08:22:30 ICT 2022","4151","","This is test scenario","","Check email field with input data invalid format","","Check email field with input data invalid format","  I want login into IResource website"
"passed","Mon Mar 21 08:22:48 ICT 2022","Mon Mar 21 08:22:51 ICT 2022","3094","","This is test scenario","","Verify the password is displayed with type text","","Verify the password is displayed with type text","  I want login into IResource website"
"passed","Sun Mar 20 21:57:44 ICT 2022","Sun Mar 20 21:57:52 ICT 2022","8077","","This is test scenario","","Verify the Sign up hyperlink is active","","Verify the Sign up hyperlink is active","  I want login into IResource website"
"passed","Mon Mar 21 08:25:50 ICT 2022","Mon Mar 21 08:25:58 ICT 2022","7881","","This is test scenario","","Verify the Sign up hyperlink is active","","Verify the Sign up hyperlink is active","  I want sign up into IResource website"
"passed","Mon Mar 21 08:21:46 ICT 2022","Mon Mar 21 08:21:56 ICT 2022","9452","","This is test scenario","","Verify title is displayed correctly","","Verify title is displayed correctly","  I want login into IResource website"
"passed","Mon Mar 21 08:22:02 ICT 2022","Mon Mar 21 08:22:14 ICT 2022","12572","","This is test scenario","","Verify email field is NOT already on DB","","Verify email field is NOT already on DB","  I want login into IResource website"
"passed","Mon Mar 21 08:23:03 ICT 2022","Mon Mar 21 08:23:06 ICT 2022","3489","","This is test scenario","","Verify the default of checkbox is the checked persona","","Verify the default of checkbox is the checked persona","  I want sign up into IResource website"
"passed","Mon Mar 21 08:23:30 ICT 2022","Mon Mar 21 08:23:35 ICT 2022","4933","","This is test scenario","","Check email field with input data invalid data","","Check email field with input data invalid data","  I want sign up into IResource website"
"passed","Sun Mar 20 21:57:40 ICT 2022","Sun Mar 20 21:57:44 ICT 2022","3754","","This is test scenario","","Verify the password is displayed with type text","","Verify the password is displayed with type text","  I want login into IResource website"
"passed","Mon Mar 21 08:22:14 ICT 2022","Mon Mar 21 08:22:26 ICT 2022","11942","","This is test scenario","","Verify password field is NOT already on DB","","Verify password field is NOT already on DB","  I want login into IResource website"
"passed","Mon Mar 21 08:21:56 ICT 2022","Mon Mar 21 08:21:58 ICT 2022","2417","","This is test scenario","","Verify description is displayed correctly","","Verify description is displayed correctly","  I want login into IResource website"
"passed","Mon Mar 21 08:22:30 ICT 2022","Mon Mar 21 08:22:36 ICT 2022","5633","","This is test scenario","","Check password field with input data invalid length","","Check password field with input data invalid length","  I want login into IResource website"
